observation_id,source_id,monitor_vendor,monitor_model,software_version,environment,cohort,club,metric,aggregation_level,sample_count,measurement_status,reported_mean,reported_sd,reported_unit,canonical_mean,canonical_sd,canonical_unit,matched_shots
3c943bf75ab40b8cba0a31ff,bliss_langdown_2026,TrackMan,TrackMan 4,TrackMan unspecified; FS Golf 7.7.3,indoor_normalized_sea_level,single_participant,Driver,descent_angle,group_mean,58,reported,42.8,6.78,deg,0.747000919853573,0.11833332328521555,rad,1
52736787a5f25cd3c98633ab,bliss_langdown_2026,FlightScope,Mevo+,TrackMan unspecified; FS Golf 7.7.3,indoor_normalized_sea_level,single_participant,Driver,descent_angle,group_mean,58,reported,42.83,5.85,deg,0.7475245186291714,0.10210176124166827,rad,1
843ee91391b4c982cd820075,bliss_langdown_2026,TrackMan,TrackMan 4,TrackMan unspecified; FS Golf 7.7.3,indoor_normalized_sea_level,single_participant,Driver,launch_angle,group_mean,58,reported,13.61,2.92,deg,0.23753931119642824,0.05096361415823442,rad,1
d61e03099a728eb27d74fa10,bliss_langdown_2026,FlightScope,Mevo+,TrackMan unspecified; FS Golf 7.7.3,indoor_normalized_sea_level,single_participant,Driver,launch_angle,group_mean,58,reported,14.36,2.93,deg,0.2506292805863857,0.05113814708343386,rad,1
965d839177380cd6f31f2f79,bliss_langdown_2026,TrackMan,TrackMan 4,TrackMan unspecified; FS Golf 7.7.3,indoor_normalized_sea_level,single_participant,Driver,launch_direction,group_mean,58,reported,-1.4,3.66,deg,-0.024434609527920613,0.06387905062299247,rad,1
3d3d9340f4d18c15feb67c9c,bliss_langdown_2026,FlightScope,Mevo+,TrackMan unspecified; FS Golf 7.7.3,indoor_normalized_sea_level,single_participant,Driver,launch_direction,group_mean,58,reported,-1.1,3.45,deg,-0.019198621771937627,0.06021385919380437,rad,1
87d54bdb3e58a3c8c48a9aa3,bliss_langdown_2026,TrackMan,TrackMan 4,TrackMan unspecified; FS Golf 7.7.3,indoor_normalized_sea_level,single_participant,Driver,lateral_total,group_mean,58,reported,7.28,28.24,yd,6.6568320000000005,25.822656,m,1
19a3abcffcbf690b57f81521,bliss_langdown_2026,FlightScope,Mevo+,TrackMan unspecified; FS Golf 7.7.3,indoor_normalized_sea_level,single_participant,Driver,lateral_total,group_mean,58,reported,-1.17,29.68,yd,-1.069848,27.139392,m,1
7b5183d061156ee2d212611d,bliss_langdown_2026,TrackMan,TrackMan 4,TrackMan unspecified; FS Golf 7.7.3,indoor_normalized_sea_level,single_participant,Driver,smash_factor,group_mean,58,reported,1.43,0.04,1,1.43,0.04,1,1
4b8ca4c656dfa30a99b7de14,bliss_langdown_2026,FlightScope,Mevo+,TrackMan unspecified; FS Golf 7.7.3,indoor_normalized_sea_level,single_participant,Driver,smash_factor,group_mean,58,reported,1.44,0.04,1,1.44,0.04,1,1
45587040eb74073f72abbd6d,bliss_langdown_2026,TrackMan,TrackMan 4,TrackMan unspecified; FS Golf 7.7.3,indoor_normalized_sea_level,single_participant,Driver,spin_axis,group_mean,58,reported,5.82,8.17,deg,0.10157816246606999,0.14259339988793673,rad,1
fc7bc7b6193ed2fb0bdbc56a,bliss_langdown_2026,FlightScope,Mevo+,TrackMan unspecified; FS Golf 7.7.3,indoor_normalized_sea_level,single_participant,Driver,spin_axis,group_mean,58,reported,2.58,18.21,deg,0.045029494701453704,0.31782445678816745,rad,1
1b375831e5fe06570866774d,bliss_langdown_2026,TrackMan,TrackMan 4,TrackMan unspecified; FS Golf 7.7.3,indoor_normalized_sea_level,single_participant,Driver,spin_rate,group_mean,58,reported,3171.0,694.0,rpm,332.0663434844411,72.67551005304388,rad/s,1
91a738b87407893f8f2c36f3,bliss_langdown_2026,FlightScope,Mevo+,TrackMan unspecified; FS Golf 7.7.3,indoor_normalized_sea_level,single_participant,Driver,spin_rate,group_mean,58,reported,3226.0,560.0,rpm,337.8259300160224,58.64306286700947,rad/s,1
3aba694626876666d9c030e9,bliss_langdown_2026,TrackMan,TrackMan 4,TrackMan unspecified; FS Golf 7.7.3,indoor_normalized_sea_level,single_participant,Driver,swing_direction,group_mean,58,reported,-1.34,3.06,deg,-0.023387411976724018,0.053407075111026485,rad,1
dbef5274a0f20b94a2c9217a,bliss_langdown_2026,FlightScope,Mevo+,TrackMan unspecified; FS Golf 7.7.3,indoor_normalized_sea_level,single_participant,Driver,swing_direction,group_mean,58,reported,-1.04,3.04,deg,-0.01815142422074103,0.05305800926062762,rad,1
