source_id,club,sample_count,metric,source_unit,trackman_mean,trackman_sd,trackman_min,trackman_max,flightscope_mean,flightscope_sd,flightscope_min,flightscope_max,mean_difference_trackman_minus_flightscope,sd_difference,mape_percent,icc_consistency,icc_absolute,pearson_r,measurement_status,environment,software_version
bliss_langdown_2026,7-Iron,80,dynamic_loft,deg,26.94,2.00,22.37,32.36,34.71,3.24,26.50,40.70,-7.77,2.16,28.84,0.81,0.23,0.76,reported,indoor_normalized_sea_level,TrackMan unspecified; FS Golf 7.7.3
bliss_langdown_2026,7-Iron,80,face_angle,deg,-2.65,2.89,-10.16,5.65,-1.97,3.67,-10.20,7.60,-0.69,1.51,26.04,0.95,0.94,0.92,reported,indoor_normalized_sea_level,TrackMan unspecified; FS Golf 7.7.3
bliss_langdown_2026,7-Iron,80,face_to_path,deg,-1.31,3.22,-10.16,7.40,0.37,4.64,-14.60,10.20,-0.90,1.87,68.70,0.87,0.83,0.82,reported,indoor_normalized_sea_level,TrackMan unspecified; FS Golf 7.7.3
bliss_langdown_2026,7-Iron,80,apex_height,ft,105.68,12.70,62.75,132.31,115.93,13.39,72.20,143.70,-10.25,3.57,9.70,0.98,0.85,0.96,reported,indoor_normalized_sea_level,TrackMan unspecified; FS Golf 7.7.3
bliss_langdown_2026,7-Iron,80,descent_angle,deg,51.28,3.23,38.24,56.44,51.46,2.50,41.60,57.20,-0.18,1.50,3.51,0.93,0.93,0.89,reported,indoor_normalized_sea_level,TrackMan unspecified; FS Golf 7.7.3
bliss_langdown_2026,7-Iron,80,launch_angle,deg,21.37,1.47,18.07,25.11,22.21,1.47,18.70,25.60,-0.84,0.48,3.93,0.97,0.90,0.95,reported,indoor_normalized_sea_level,TrackMan unspecified; FS Golf 7.7.3
bliss_langdown_2026,7-Iron,80,launch_direction,deg,-2.59,2.47,-8.53,3.88,-2.10,2.70,-7.90,4.20,-0.49,1.40,18.91,0.92,0.91,0.86,reported,indoor_normalized_sea_level,TrackMan unspecified; FS Golf 7.7.3
bliss_langdown_2026,7-Iron,80,lateral_total,yd,-8.64,12.66,-47.25,20.10,-5.46,10.89,-30.70,18.90,-3.18,6.25,36.81,0.93,0.91,0.87,reported,indoor_normalized_sea_level,TrackMan unspecified; FS Golf 7.7.3
bliss_langdown_2026,7-Iron,80,smash_factor,1,1.33,0.05,1.17,1.41,1.29,0.05,1.16,1.38,0.03,0.02,2.26,0.93,0.83,0.87,reported,indoor_normalized_sea_level,TrackMan unspecified; FS Golf 7.7.3
bliss_langdown_2026,7-Iron,80,spin_axis,deg,-1.17,5.82,-19.79,10.94,0.30,6.47,-18.60,12.80,-1.48,2.48,126.50,0.96,0.94,0.92,reported,indoor_normalized_sea_level,TrackMan unspecified; FS Golf 7.7.3
bliss_langdown_2026,7-Iron,80,spin_rate,rpm,6390,821,3967,8079,6795,1665,4013,13289,-405,1512,6.33,0.50,0.49,0.43,reported,indoor_normalized_sea_level,TrackMan unspecified; FS Golf 7.7.3
bliss_langdown_2026,7-Iron,80,swing_direction,deg,-3.79,3.01,-12.16,2.39,-5.34,3.31,-11.30,3.50,1.55,1.94,40.90,0.90,0.84,0.82,reported,indoor_normalized_sea_level,TrackMan unspecified; FS Golf 7.7.3
bliss_langdown_2026,7-Iron,80,swing_plane,deg,58.36,2.52,52.26,64.55,60.78,2.39,54.80,66.60,-2.43,2.71,4.16,0.56,0.42,0.39,reported,indoor_normalized_sea_level,TrackMan unspecified; FS Golf 7.7.3
